Team,ID,Region
100 Challengers,1803,NA
100 Thieves,1793,NA
3BL Esports,2076,AL
5 Ronin,1841,TR
Aegis,1883,FR
Akroma,1885,FR
Alior Bank Team,1761,PL
All Knights,1868,LAT
aNc Outplayed,1900,IT
Ankora Gaming,1973,RS
Anorthosis Famagusta Esports,1961,GR
Anubis Gaming,2077,AL
Anyone s Legend,1788,CN
AOE Esports,2068,NA
Astralis,1813,EUW
Atletec,2021,FR
Austrian Force willhaben,2085,DE
AXIZ,1832,JP
Axolotl,1895,IT
AYM Esports,2053,ES
Barça eSports,1918,ES
beGenius ESC,2023,FR
Benelux United,1890,BE
Berlin International Gaming,1903,DE
Besiktas Esports,1842,TR
Beyond Gaming,1850,PCS
Bilibili Gaming,1785,CN
BISONS ECLUB,1912,ES
BK ROG Esports,2018,FR
Boavista FC,1930,PT
BRION,1767,KR
BRO Challengers,1925,KR
BRUTE,1982,CZ
Burning Core,1833,JP
Byteway Esports,1935,PT
Case Esports,2054,ES
Cerberus Esports,1861,VN
Chief Esports Club,1999,OCE
Cincinnati Fear,2069,NA
CLG,1795,NA
CLG Challengers,1805,NA
CLG Faith,2073,NA
Cloud9,1794,NA
Cloud9 Challengers,1804,NA
Crest Gaming Act,1834,JP
Crvena zvezda Esports,1974,RS
Cryptova,1991,CZ
CTBC Flying Oyster,1853,PCS
Cyber Wolves,2012,RS
Cyberground Gaming,1896,IT
Dark Passage,1843,TR
Deep Cross Gaming,1858,PCS
Detonation FocusMe,1835,JP
Dewish Team,1851,PCS
Diamant Esports,1971,RS
Dignitas,1796,NA
Dignitas Challengers,1806,NA
Dire Wolves,2000,OCE
DK Challengers,1923,KR
DKB Diamonds,2086,DE
Domino Esport,1946,EUW
Dplus KIA,1765,KR
DREN Esports,2010,IT
DRX,1766,KR
DRX Challengers,1924,KR
Dsyre Esports,1899,IT
Dynamo Eclot,2016,CZ
E WIE EINFACH E-SPORTS,1904,DE
Edward Gaming,1783,CN
EGN Esports,1932,PT
Eintracht Frankfurt,2011,DE
Eintracht Spandau,1905,DE
Entropiq,1989,CZ
EPIC-DUDES,2087,DE
Estral Esports,1869,LAT
eSuba,1985,CZ
Evil Geniuses,1797,NA
Evil Geniuses Challengers,1807,NA
Excel Esports,1814,EUW
Exeed Poland,1958,PL
Falcons,2056,ES
FC Schalke 04 Evolution,1906,DE
FENNEL,1837,JP
Fluxo,1830,BR
Fluxo Academy,1955,BR
FLY FAM,2007,NA
FlyQuest,1798,NA
FlyQuest Challengers,1808,NA
Fnatic,1815,EUW
Fnatic TQ,1919,ES
For The Win Esports,1933,PT
Fox Gaming,2078,AL
Frank Esports,1856,PCS
Funplus Phoenix,1777,CN
FURIA Academy,1949,BR
FURIA Esports,1824,BR
FUT Esports,1840,TR
G2 Esports,1816,EUW
Galakticos,1844,TR
GAM Esports,1862,VN
GamerLegion,1907,DE
Gamespace Mediterranean College Esports,1967,GR
GameWard,1880,FR
Geekay Esports,2081,AL
Gen.G Challengers,1768,KR
Gen.G eSports,1792,KR
GG&Esports,1897,IT
Giants,1921,ES
GnG Esports,2080,AL
Golden Guardians,1799,NA
Golden Guardians Challengers,1809,NA
Ground Zero Gaming,2004,OCE
Grypciocraft Esports,1957,PL
GTZ Esports,1934,PT
Guasones,2057,ES
